Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
ethiopianBirr,Currency,ETB,Ethiopian Birr,http://qudt.org/vocab/unit#EthiopianBirr
euro,Currency,EUR,Euro,http://qudt.org/vocab/unit#Euro
europeanCompositeUnit(Eurco)(BondsMarketUnit),Currency,XBA,European Composite Unit (Eurco) (Bonds Market Unit),http://qudt.org/vocab/unit#EuropeanCompositeUnit
europeanMonetaryUnit(E.M.U.-6)(BondsMarketUnit),Currency,XBB,European Monetary Unit (E.M.U.-6) (Bonds Market Unit),http://qudt.org/vocab/unit#EuropeanMonetaryUnit
europeanUnitOfAccount17(E.U.A.-17)(BondsMarketUnit),Currency,XBD,European Unit of Account 17 (E.U.A.-17) (Bonds Market Unit),http://qudt.org/vocab/unit#EuropeanUnitOfAccount17
europeanUnitOfAccount9(E.U.A.-9)(BondsMarketUnit),Currency,XBC,European Unit of Account 9 (E.U.A.-9) (Bonds Market Unit),http://qudt.org/vocab/unit#EuropeanUnitOfAccount9
falklandIslandsPound,Currency,FKP,Falkland Islands Pound,http://qudt.org/vocab/unit#FalklandIslandsPound
fijiDollar,Currency,FJD,Fiji Dollar,http://qudt.org/vocab/unit#FijiDollar
forint,Currency,HUF,Forint,http://qudt.org/vocab/unit#Forint
francCongolais,Currency,CDF,Franc Congolais,http://qudt.org/vocab/unit#FrancCongolais
gibraltarPound,Currency,GIP,Gibraltar Pound,http://qudt.org/vocab/unit#GibraltarPound
gold(OneTroyOunce),Currency,XAU,Gold (One Troy Ounce),http://qudt.org/vocab/unit#Gold-OunceTroy
goldFranc(SpecialSettlementCurrency),Currency,XFO,Gold Franc (Special Settlement Currency),http://qudt.org/vocab/unit#GoldFranc
guarani,Currency,PYG,Guarani,http://qudt.org/vocab/unit#Guarani
guineaFranc,Currency,GNF,Guinea Franc,http://qudt.org/vocab/unit#GuineaFranc
guyanaDollar,Currency,GYD,Guyana Dollar,http://qudt.org/vocab/unit#GuyanaDollar
haitiGourde,Currency,HTG,Haiti Gourde,http://qudt.org/vocab/unit#HaitiGourde
hongKongDollar,Currency,HKD,Hong Kong Dollar,http://qudt.org/vocab/unit#HongKongDollar
hryvnia,Currency,UAH,Hryvnia,http://qudt.org/vocab/unit#Hryvnia
icelandKrona,Currency,ISK,Iceland Krona,http://qudt.org/vocab/unit#IcelandKrona
indianRupee,Currency,INR,Indian Rupee,http://qudt.org/vocab/unit#IndianRupee
iranianRial,Currency,IRR,Iranian Rial,http://qudt.org/vocab/unit#IranianRial
iraqiDinar,Currency,IQD,Iraqi Dinar,http://qudt.org/vocab/unit#IraqiDinar
jamaicanDollar,Currency,JMD,Jamaican Dollar,http://qudt.org/vocab/unit#JamaicanDollar
japaneseYen,Currency,JPY,Japanese Yen,http://qudt.org/vocab/unit#JapaneseYen
jordanianDinar,Currency,JOD,Jordanian Dinar,http://qudt.org/vocab/unit#JordanianDinar
kenyanShilling,Currency,KES,Kenyan Shilling,http://qudt.org/vocab/unit#KenyanShilling
kina,Currency,PGK,Kina,http://qudt.org/vocab/unit#Kina
kroon,Currency,EEK,Kroon,http://qudt.org/vocab/unit#Kroon
kuwaitiDinar,Currency,KWD,Kuwaiti Dinar,http://qudt.org/vocab/unit#KuwaitiDinar
kwanza,Currency,AOA,Kwanza,http://qudt.org/vocab/unit#Kwanza
kyat,Currency,MMK,Kyat,http://qudt.org/vocab/unit#Kyat
laosKip,Currency,LAK,Laos Kip,http://qudt.org/vocab/unit#LaosKip
lari,Currency,GEL,Lari,http://qudt.org/vocab/unit#Lari
latvianLats,Currency,LVL,Latvian Lats,http://qudt.org/vocab/unit#LatvianLats
lebanesePound,Currency,LBP,Lebanese Pound,http://qudt.org/vocab/unit#LebanesePound
lek,Currency,ALL,Lek,http://qudt.org/vocab/unit#Lek
lempira,Currency,HNL,Lempira,http://qudt.org/vocab/unit#Lempira
leone,Currency,SLL,Leone,http://qudt.org/vocab/unit#Leone
liberianDollar,Currency,LRD,Liberian Dollar,http://qudt.org/vocab/unit#LiberianDollar
libyanDinar,Currency,LYD,Libyan Dinar,http://qudt.org/vocab/unit#LibyanDinar
lilangeni,Currency,SZL,Lilangeni,http://qudt.org/vocab/unit#Lilangeni
lithuanianLitas,Currency,LTL,Lithuanian Litas,http://qudt.org/vocab/unit#LithuanianLitas
loti,Currency,LSL,Loti,http://qudt.org/vocab/unit#Loti
malagasyAriary,Currency,MGA,Malagasy Ariary,http://qudt.org/vocab/unit#MalagasyAriary
malawiKwacha,Currency,MWK,Malawi Kwacha,http://qudt.org/vocab/unit#MalawiKwacha
malaysianRinggit,Currency,MYR,Malaysian Ringgit,http://qudt.org/vocab/unit#MalaysianRinggit
malteseLira,Currency,MTL,Maltese Lira,http://qudt.org/vocab/unit#MalteseLira
manat,Currency,TMM,Manat,http://qudt.org/vocab/unit#Manat
mauritiusRupee,Currency,MUR,Mauritius Rupee,http://qudt.org/vocab/unit#MauritiusRupee
metical,Currency,MZN,Metical,http://qudt.org/vocab/unit#Metical
mexicanPeso,Currency,MXN,Mexican Peso,http://qudt.org/vocab/unit#MexicanPeso
mexicanUnidadDeInversion(Udi)(FundsCode),Currency,MXV,Mexican Unidad De Inversion (Udi) (Funds Code),http://qudt.org/vocab/unit#MexicanUnidadDeInversion
millionUsDollars,Currency,Million USD,Million Us Dollars,http://qudt.org/vocab/unit#MillionUSDollars
moldovanLeu,Currency,MDL,Moldovan Leu,http://qudt.org/vocab/unit#MoldovanLeu
moroccanDirham,Currency,MAD,Moroccan Dirham,http://qudt.org/vocab/unit#MoroccanDirham
naira,Currency,NGN,Naira,http://qudt.org/vocab/unit#Naira
nakfa,Currency,ERN,Nakfa,http://qudt.org/vocab/unit#Nakfa
namibianDollar,Currency,NAD,Namibian Dollar,http://qudt.org/vocab/unit#NamibianDollar
nepaleseRupee,Currency,NPR,Nepalese Rupee,http://qudt.org/vocab/unit#NepaleseRupee
netherlandsAntillianGuilder,Currency,ANG,Netherlands Antillian Guilder,http://qudt.org/vocab/unit#NetherlandsAntillianGuilder
newIsraeliShekel,Currency,ILS,New Israeli Shekel,http://qudt.org/vocab/unit#NewIsraeliShekel
newTaiwanDollar,Currency,TWD,New Taiwan Dollar,http://qudt.org/vocab/unit#NewTaiwanDollar
newTurkishLira,Currency,TRY,New Turkish Lira,http://qudt.org/vocab/unit#NewTurkishLira
newZealandDollar,Currency,NZD,New Zealand Dollar,http://qudt.org/vocab/unit#NewZealandDollar
ngultrum,Currency,BTN,Ngultrum,http://qudt.org/vocab/unit#Ngultrum
northKoreanWon,Currency,KPW,North Korean Won,http://qudt.org/vocab/unit#NorthKoreanWon
norwegianKrone,Currency,NOK,Norwegian Krone,http://qudt.org/vocab/unit#NorwegianKrone
nuevoSol,Currency,PEN,Nuevo Sol,http://qudt.org/vocab/unit#NuevoSol
ouguiya,Currency,MRO,Ouguiya,http://qudt.org/vocab/unit#Ouguiya
pa'Anga,Currency,TOP,Pa'Anga,http://qudt.org/vocab/unit#Paanga
pakistanRupee,Currency,PKR,Pakistan Rupee,http://qudt.org/vocab/unit#PakistanRupee
palladium(OneTroyOunce),Currency,XPD,Palladium (One Troy Ounce),http://qudt.org/vocab/unit#Palladium-OunceTroy
pataca,Currency,MOP,Pataca,http://qudt.org/vocab/unit#Pataca
pesoUruguayo,Currency,UYU,Peso Uruguayo,http://qudt.org/vocab/unit#UruguayPeso
philippinePeso,Currency,PHP,Philippine Peso,http://qudt.org/vocab/unit#PhilippinePeso
platinum(OneTroyOunce),Currency,XPT,Platinum (One Troy Ounce),http://qudt.org/vocab/unit#Platinum-OunceTroy
poundSterling,Currency,GBP,Pound Sterling,http://qudt.org/vocab/unit#PoundSterling
pula,Currency,BWP,Pula,http://qudt.org/vocab/unit#Pula
qatariRial,Currency,QAR,Qatari Rial,http://qudt.org/vocab/unit#QatariRial
quetzal,Currency,GTQ,Quetzal,http://qudt.org/vocab/unit#Quetzal
rialOmani,Currency,OMR,Rial Omani,http://qudt.org/vocab/unit#OmaniRial
riel,Currency,KHR,Riel,http://qudt.org/vocab/unit#Riel
romanianNewLeu,Currency,RON,Romanian New Leu,http://qudt.org/vocab/unit#RomanianNeLeu
rufiyaa,Currency,MVR,Rufiyaa,http://qudt.org/vocab/unit#Rufiyaa
rupiah,Currency,IDR,Rupiah,http://qudt.org/vocab/unit#Rupiah
russianRuble,Currency,RUB,Russian Ruble,http://qudt.org/vocab/unit#RussianRuble
rwandaFranc,Currency,RWF,Rwanda Franc,http://qudt.org/vocab/unit#RwandaFranc
saintHelenaPound,Currency,SHP,Saint Helena Pound,http://qudt.org/vocab/unit#SaintHelenaPound
samoanTala,Currency,WST,Samoan Tala,http://qudt.org/vocab/unit#SamoanTala
saudiRiyal,Currency,SAR,Saudi Riyal,http://qudt.org/vocab/unit#SaudiRiyal
serbianDinar,Currency,RSD,Serbian Dinar,http://qudt.org/vocab/unit#SerbianDinar
seychellesRupee,Currency,SCR,Seychelles Rupee,http://qudt.org/vocab/unit#SeychellesRupee
silver(OneTroyOunce),Currency,XAG,Silver (One Troy Ounce),http://qudt.org/vocab/unit#Silver-OunceTroy
singaporeDollar,Currency,SGD,Singapore Dollar,http://qudt.org/vocab/unit#SingaporeDollar
slovakKoruna,Currency,SKK,Slovak Koruna,http://qudt.org/vocab/unit#SlovakKoruna
solomonIslandsDollar,Currency,SBD,Solomon Islands Dollar,http://qudt.org/vocab/unit#SolomonIslandsDollar
som,Currency,KGS,Som,http://qudt.org/vocab/unit#Som
somaliShilling,Currency,SOS,Somali Shilling,http://qudt.org/vocab/unit#SomaliShilling
somoni,Currency,TJS,Somoni,http://qudt.org/vocab/unit#Somoni
southAfricanRand,Currency,ZAR,South African Rand,http://qudt.org/vocab/unit#SouthAfricanRand
southKoreanWon,Currency,KRW,South Korean Won,http://qudt.org/vocab/unit#SouthKoreanWon
specialDrawingRights,Currency,XDR,Special Drawing Rights,http://qudt.org/vocab/unit#SpecialDrawingRights
sriLankaRupee,Currency,LKR,Sri Lanka Rupee,http://qudt.org/vocab/unit#SriLankaRupee
sudanesePound,Currency,SDG,Sudanese Pound,http://qudt.org/vocab/unit#SudanesePound
surinamDollar,Currency,SRD,Surinam Dollar,http://qudt.org/vocab/unit#SurinamDollar
swedishKrona,Currency,SEK,Swedish Krona,http://qudt.org/vocab/unit#SwedishKrona
swissFranc,Currency,CHF,Swiss Franc,http://qudt.org/vocab/unit#SwissFranc
syrianPound,Currency,SYP,Syrian Pound,http://qudt.org/vocab/unit#SyrianPound
tanzanianShilling,Currency,TZS,Tanzanian Shilling,http://qudt.org/vocab/unit#TanzanianShilling
tenge,Currency,KZT,Tenge,http://qudt.org/vocab/unit#Tenge
trinidadAndTobagoDollar,Currency,TTD,Trinidad And Tobago Dollar,http://qudt.org/vocab/unit#TrinidadAndTobagoDollar
tugrik,Currency,MNT,Tugrik,http://qudt.org/vocab/unit#Tugrik
tunisianDinar,Currency,TND,Tunisian Dinar,http://qudt.org/vocab/unit#TunisianDinar
ugandaShilling,Currency,UGX,Uganda Shilling,http://qudt.org/vocab/unit#UgandaShilling
uicFranc(SpecialSettlementCurrency),Currency,XFU,Uic Franc (Special Settlement Currency),http://qudt.org/vocab/unit#UICFranc
unidadDeValorReal,Currency,COU,Unidad De Valor Real,http://qudt.org/vocab/unit#UnidadDeValorReal
unidadesDeFormento(FundsCode),Currency,CLF,Unidades De Formento (Funds Code),http://qudt.org/vocab/unit#UnidadesDeFormento
unitedArabEmiratesDirham,Currency,AED,United Arab Emirates Dirham,http://qudt.org/vocab/unit#UAEDirham
unitedStatesDollar(NextDay)(FundsCode),Currency,USN,United States Dollar (Next Day) (Funds Code),http://qudt.org/vocab/unit#USDollar-NextDay
unitedStatesDollar(SameDay)(FundsCode),Currency,,United States Dollar (Same Day) (Funds Code),http://qudt.org/vocab/unit#USDollar-SameDay
usDollar,Currency,USD,US Dollar,http://qudt.org/vocab/unit#USDollar
uzbekistanSom,Currency,UZS,Uzbekistan Som,http://qudt.org/vocab/unit#UzbekistanSom
vatu,Currency,VUV,Vatu,http://qudt.org/vocab/unit#Vatu
venezuelanBolivar,Currency,VEB,Venezuelan Bolivar,http://qudt.org/vocab/unit#VenezuelanBolvar
vietnamese??Ng,Currency,VND,Vietnamese ??Ng,http://qudt.org/vocab/unit#VietnameseDong
wirEuro(ComplementaryCurrency),Currency,CHE,Wir Euro (Complementary Currency),http://qudt.org/vocab/unit#WIREuro
wirFranc(ComplementaryCurrency),Currency,CHW,Wir Franc (Complementary Currency),http://qudt.org/vocab/unit#WIRFranc
yemeniRial,Currency,YER,Yemeni Rial,http://qudt.org/vocab/unit#YemeniRial
yuanRenminbi,Currency,CNY,Yuan Renminbi,http://qudt.org/vocab/unit#YuanRenminbi
zambianKwacha,Currency,ZMK,Zambian Kwacha,http://qudt.org/vocab/unit#ZambianKwacha
zimbabweDollar,Currency,ZWD,Zimbabwe Dollar,http://qudt.org/vocab/unit#ZimbabweDollar
zloty,Currency,PLN,Zloty,http://qudt.org/vocab/unit#Zloty
bitsPerSecond,Data rate,bps,Bits per Second,http://qudt.org/vocab/unit#BitsPerSecond
kilobitPerSecond,Data rate,kbps,Kilobit per Second,http://qudt.org/vocab/unit#KilobitsPerSecond
megabitPerSecond,Data rate,mbps,Megabit per Second,http://qudt.org/vocab/unit#MegabitsPerSecond
centistokes,Diffusivity,cSt,Centistokes,http://qudt.org/vocab/unit#Centistokes
squareFootPerHour,Diffusivity,ft^2/hr,Square Foot per Hour,http://qudt.org/vocab/unit#SquareFootPerHour
squareFootPerSecond,Diffusivity,ft^2/s,Square Foot per Second,http://qudt.org/vocab/unit#SquareFootPerSecond
squareMeterPerSecond,Diffusivity,m^2 s^-1,Square Meter per Second,http://qudt.org/vocab/unit#SquareMeterPerSecond
stoke,Diffusivity,St,Stoke,http://qudt.org/vocab/unit#Stokes; http://unitsofmeasure.org/ucum.html#para-33; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
code,Dimensionless,code,Code,USGS
dimensionless,Dimensionless,-,Dimensionless,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
hounsfieldUnit,Dimensionless,hnsf'U,Hounsfield Unit,http://unitsofmeasure.org/ucum.html#para-44
mach,Dimensionless,,Mach,http://qudt.org/vocab/unit#Mach
partPerBillion,Dimensionless,ppb,Part per Billion,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
partPerMillion,Dimensionless,ppm,Part per Million,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
partPerQuadrillion,Dimensionless,ppq,Part per Quadrillion,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/
partPerQuintillion,Dimensionless,ppqt,Part per Quintillion,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
partPerThousand,Dimensionless,ppth,Part per Thousand,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://unitsofmeasure.org/ucum.html#para-29; http://qwwebservices.usgs.gov/service-domains.html
partPerTrillion,Dimensionless,ppt,Part per Trillion,http://environment.data.gov.au/def/unit/PerTrillion; http://unitsofmeasure.org/ucum.html#para-29; http://www.unidata.ucar.edu/software/udunits/
percent,Dimensionless,%,Percent,http://qudt.org/vocab/unit#Percent; http://unitsofmeasure.org/ucum.html#para-29; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://www.unidata.ucar.edu/software/udunits/; http://qwwebservices.usgs.gov/service-domains.html
perMille,Dimensionless,per mil,Per Mille,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/PerMil; http://qwwebservices.usgs.gov/service-domains.html
presenceOrAbsence,Dimensionless,PrsAbs,Presence or Absence,http://qwwebservices.usgs.gov/service-domains.html
standardUnit,Dimensionless,std units,Standard Unit,http://qwwebservices.usgs.gov/service-domains.html
thresholdOdorNumber,Dimensionless,TON,Threshold Odor Number,http://qwwebservices.usgs.gov/service-domains.html
tritiumUnit,Dimensionless,TU,Tritium Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://environment.data.gov.au/def/unit/Tritium_Unit; http://qwwebservices.usgs.gov/service-domains.html
unitedStatesPharmacopeiaUnit,Dimensionless,USP'U,United States Pharmacopeia Unit,http://unitsofmeasure.org/ucum.html#para-45
rem,Dose equivalent,REM,REM,http://qudt.org/vocab/unit#Rem; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
sievert,Dose equivalent,Sv,Sievert,http://qudt.org/vocab/unit#Sievert; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
centipoise,Dynamic viscosity,cP,Centipoise,http://qudt.org/vocab/unit#Centipoise
pascalSecond,Dynamic viscosity,Pa-s,Pascal Second,http://qudt.org/vocab/unit#PascalSecond
poise,Dynamic viscosity,P,Poise,http://qudt.org/vocab/unit#Poise; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
poundForceSecondPerSquareFoot,Dynamic viscosity,lbf-s/ft^2,Pound Force Second per Square Foot,http://qudt.org/vocab/unit#PoundForceSecondPerSquareFoot
poundForceSecondPerSquareInch,Dynamic viscosity,lbf-s/in^2,Pound Force Second per Square Inch,http://qudt.org/vocab/unit#PoundForceSecondPerSquareInch
poundPerFootHour,Dynamic viscosity,lb/(ft-hr),Pound per Foot Hour,http://qudt.org/vocab/unit#PoundPerFootHour
poundPerFootSecond,Dynamic viscosity,lb/(ft-s),Pound per Foot Second,http://qudt.org/vocab/unit#PoundPerFootSecond
slugPerFootSecond,Dynamic viscosity,slug/(ft-s),Slug per Foot Second,http://qudt.org/vocab/unit#SlugPerFootSecond
abfarad,Electrical capacitance,abF,Abfarad,http://qudt.org/vocab/unit#Abfarad
farad,Electrical capacitance,F,Farad,http://qudt.org/vocab/unit#Farad; http://unitsofmeasure.org/ucum.html#para-30
microfarad,Electrical capacitance,microF,Microfarad,http://qudt.org/vocab/unit#MicroFarad
nanofarad,Electrical capacitance,nF,Nanofarad,http://qudt.org/vocab/unit#NanoFarad
picofarad,Electrical capacitance,pF,Picofarad,http://qudt.org/vocab/unit#PicoFarad
statfarad,Electrical capacitance,statF,Statfarad,http://qudt.org/vocab/unit#Statfarad; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
abcoulomb,Electrical charge,abC,Abcoulomb,http://qudt.org/vocab/unit#Abcoulomb
ampereHour,Electrical charge,A-hr,Ampere Hour,http://qudt.org/vocab/unit#AmpereHour
c12Faraday,Electrical charge,,C12 Faraday,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
chemicalEquivalent,Electrical charge,eq,Chemical Equivalent,http://unitsofmeasure.org/ucum.html#para-45
chemicalFaraday,Electrical charge,,Chemical Faraday,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
coulomb,Electrical charge,C,Coulomb,http://qudt.org/vocab/unit#Coulomb
faraday,Electrical charge,F,Faraday,http://qudt.org/vocab/unit#Faraday
franklin,Electrical charge,Fr,Franklin,http://qudt.org/vocab/unit#Franklin
milliequivalent,Electrical charge,meq,Milliequivalent,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
physicalFaraday,Electrical charge,,Physical Faraday,http://www.unidata.ucar.edu/software/udunits/
planckCharge,Electrical charge,Q_p,Planck Charge,http://qudt.org/vocab/unit#PlanckCharge
statcoulomb,Electrical charge,statC,Statcoulomb,http://qudt.org/vocab/unit#Statcoulomb; http://www.unidata.ucar.edu/software/udunits/
coulombPerMeter,Electrical charge line density,C/m,Coulomb per Meter,http://qudt.org/vocab/unit#CoulombPerMeter
coulombPerMole,Electrical charge per count,,Coulomb per Mole,http://qudt.org/vocab/unit#CoulombPerMole
statcoulombPerMole,Electrical charge per count,statC/mol,Statcoulomb per Mole,http://qudt.org/vocab/unit#StatcoulombPerMole
coulombPerKilogram,Electrical charge per mass,C/kg,Coulomb per Kilogram,http://qudt.org/vocab/unit#CoulombPerKilogram
hertzPerTesla,Electrical charge per mass,Hz T^-1,Hertz per Tesla,http://qudt.org/vocab/unit#HertzPerTesla
megahertzPerTesla,Electrical charge per mass,MHz T^-1,Megahertz per Tesla,http://qudt.org/vocab/unit#MegaHertzPerTesla
milliequivalentPer100Gram,Electrical charge per mass,meq/100 g,Milliequivalent per 100 Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milliequivalentPerHectogram,Electrical charge per mass,meq/hg,Milliequivalent per Hectogram,http://environment.data.gov.au/def/unit/MilliEquivalentPerHectoGram
milliequivalentPerKilogram,Electrical charge per mass,meq/kg,Milliequivalent per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perTeslaSecond,Electrical charge per mass,s^-1 T^-1,Per Tesla Second,http://qudt.org/vocab/unit#PerTeslaSecond
roentgen,Electrical charge per mass,R,Roentgen,http://qudt.org/vocab/unit#Roentgen; http://unitsofmeasure.org/ucum.html#para-33; http://www.unidata.ucar.edu/software/udunits/
coulombPerCubicMeter,Electrical charge volume density,C/m^3,Coulomb per Cubic Meter,http://qudt.org/vocab/unit#CoulombPerCubicMeter
microequivalentPerLiter,Electrical charge volume density,ueq/L,Microequivalent per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milliequivalentPerLiter,Electrical charge volume density,meq/L,Milliequivalent per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
abmho,Electrical conductance,,Abmho,http://www.unidata.ucar.edu/software/udunits/
absiemen,Electrical conductance,aS,Absiemen,http://qudt.org/vocab/unit#Absiemen
mho,Electrical conductance,mho,Mho,http://qudt.org/vocab/unit#Mho; http://unitsofmeasure.org/ucum.html#para-47
siemen,Electrical conductance,S,Siemen,http://qudt.org/vocab/unit#Siemens; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
statmho,Electrical conductance,statS,Statmho,http://qudt.org/vocab/unit#Statmho; http://www.unidata.ucar.edu/software/udunits/
decisiemenPerCentimeter,Electrical conductivity,dS/cm,Decisiemen per Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
decisiemenPerMeter,Electrical conductivity,dS/m,Decisiemen per Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
micromhoPerCentimeter,Electrical conductivity,µMhos/cm,Micromho per Centimeter,
microsiemenPerCentimeter,Electrical conductivity,uS/cm,Microsiemen per Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millimhoPerCentimeter,Electrical conductivity,mMhos/cm,Millimho per Centimeter,
millisiemenPerCentimeter,Electrical conductivity,mS/cm,Millisiemen per Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
siemenPerCentimeter,Electrical conductivity,S/cm,Siemen per Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
siemenPerMeter,Electrical conductivity,S/m,Siemen per Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
abampere,Electrical current,abA,Abampere,http://qudt.org/vocab/unit#Abampere
ampere,Electrical current,A,Ampere,http://qudt.org/vocab/unit#Ampere
biot,Electrical current,Bi,Biot,http://qudt.org/vocab/unit#Biot
planckCurrent,Electrical current,,Planck Current,http://qudt.org/vocab/unit#PlanckCurrent
statampere,Electrical current,statA,Statampere,http://qudt.org/vocab/unit#Statampere; http://www.unidata.ucar.edu/software/udunits/
abamperePerSquareCentimeter,Electrical current density,abA / cm^2,Abampere per Square Centimeter,http://qudt.org/vocab/unit#AbamperePerSquareCentimeter
amperePerSquareMeter,Electrical current density,A/m^2,Ampere per Square Meter,http://qudt.org/vocab/unit#AmperePerSquareMeter
planckCurrentDensity,Electrical current density,,Planck Current Density,http://qudt.org/vocab/unit#PlanckCurrentDensity
statamperePerSquareCentimeter,Electrical current density,statA / cm^2,Statampere per Square Centimeter,http://qudt.org/vocab/unit#StatamperePerSquareCentimeter
amperePerDegree,Electrical current per angle,A/deg,Ampere per Degree,http://qudt.org/vocab/unit#AmperePerDegree
amperePerRadian,Electrical current per angle,,Ampere per Radian,http://qudt.org/vocab/unit#AmperePerRadian
amperePerJoule,Electrical current per energy,A/J,Ampere per Joule,http://qudt.org/vocab/unit#AmperePerJoule
coulombMeter,Electrical dipole moment,C m,Coulomb Meter,http://qudt.org/vocab/unit#CoulombMeter
debye,Electrical dipole moment,D,Debye,http://qudt.org/vocab/unit#Debye
abvoltPerCentimeter,Electrical field strength,,Abvolt per Centimeter,http://qudt.org/vocab/unit#AbvoltPerCentimeter
newtonPerCoulomb,Electrical field strength,N/C,Newton per Coulomb,http://qudt.org/vocab/unit#NewtonPerCoulomb
statvoltPerCentimeter,Electrical field strength,,Statvolt per Centimeter,http://qudt.org/vocab/unit#StatvoltPerCentimeter
voltPerMeter,Electrical field strength,V/m,Volt per Meter,http://qudt.org/vocab/unit#VoltPerMeter
abvoltCentimeter,Electrical flux,abV cm,Abvolt Centimeter,http://qudt.org/vocab/unit#AbvoltCentimeter
statvoltCentimeter,Electrical flux,statV cm,Statvolt Centimeter,http://qudt.org/vocab/unit#StatvoltCentimeter
voltMeter,Electrical flux,m V,Volt Meter,http://qudt.org/vocab/unit#VoltMeter
abcoulombPerSquareCentimeter,Electrical flux density,,Abcoulomb per Square Centimeter,http://qudt.org/vocab/unit#AbcoulombPerSquareCentimeter
coulombPerSquareMeter,Electrical flux density,C/m^2,Coulomb per Square Meter,http://qudt.org/vocab/unit#CoulombPerSquareMeter
statcoulombPerSquareCentimeter,Electrical flux density,,Statcoulomb per Square Centimeter,http://qudt.org/vocab/unit#StatcoulombPerSquareCentimeter
abfaradPerCentimeter,Electrical permittivity,,Abfarad per Centimeter,http://qudt.org/vocab/unit#AbfaradPerCentimeter
faradPerMeter,Electrical permittivity,F/m,Farad per Meter,http://qudt.org/vocab/unit#FaradPerMeter
coulombSquareMeter,Electrical quadrupole moment,C m^2,Coulomb Square Meter,http://qudt.org/vocab/unit#CoulombSquareMeter
abohm,Electrical resistance,abOhm,Abohm,http://qudt.org/vocab/unit#Abohm
ohm,Electrical resistance,Ohm,Ohm,http://qudt.org/vocab/unit#Ohm; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
planckImpedance,Electrical resistance,,Planck Impedance,http://qudt.org/vocab/unit#PlanckResistance
planckResistance,Electrical resistance,,Planck Resistance,http://qudt.org/vocab/unit#PlanckResistance
statohm,Electrical resistance,statOhm,Statohm,http://qudt.org/vocab/unit#Statohm; http://www.unidata.ucar.edu/software/udunits/
kiloohmCentimeter,Electrical resistivity,kOhm-cm,Kiloohm Centimeter,
ohmMeter,Electrical resistivity,ohm m,Ohm Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
